state,court_type,case_type,judge_rating,complexity,hearings,public_interest,case_text,outcome,clean_text
Karnataka,High Court,Family,6.7,7.5,8,No,The Family case with complexity 7.5 and 8 hearings,1,the family case with complexity and hearings
Delhi,High Court,Criminal,7.7,7.1,15,No,The Criminal case with complexity 7.1 and 15 hearings,1,the criminal case with complexity and hearings
Maharashtra,Sessions Court,Constitutional,9.4,6.6,16,No,The Constitutional case with complexity 6.6 and 16 hearings,0,the constitutional case with complexity and hearings
West Bengal,Supreme Court,Constitutional,6.7,2.6,17,No,The Constitutional case with complexity 2.6 and 17 hearings,1,the constitutional case with complexity and hearings
Delhi,Sessions Court,Civil,7.5,4.9,17,No,The Civil case with complexity 4.9 and 17 hearings,0,the civil case with complexity and hearings
Karnataka,District Court,Family,7.8,6.5,16,Yes,The Family case with complexity 6.5 and 16 hearings,0,the family case with complexity and hearings
Delhi,District Court,Criminal,9.4,3.1,12,No,The Criminal case with complexity 3.1 and 12 hearings,0,the criminal case with complexity and hearings
West Bengal,Sessions Court,Family,9.3,8.6,3,Yes,The Family case with complexity 8.6 and 3 hearings,1,the family case with complexity and hearings
Delhi,Supreme Court,Civil,9.5,3.1,8,No,The Civil case with complexity 3.1 and 8 hearings,1,the civil case with complexity and hearings
Delhi,Supreme Court,Corporate,9.2,5.9,17,Yes,The Corporate case with complexity 5.9 and 17 hearings,1,the corporate case with complexity and hearings
West Bengal,High Court,Corporate,10.0,6.0,3,No,The Corporate case with complexity 6.0 and 3 hearings,1,the corporate case with complexity and hearings
Karnataka,Sessions Court,Corporate,7.3,7.3,11,No,The Corporate case with complexity 7.3 and 11 hearings,1,the corporate case with complexity and hearings
Maharashtra,High Court,Criminal,6.9,6.6,2,No,The Criminal case with complexity 6.6 and 2 hearings,1,the criminal case with complexity and hearings
Delhi,Supreme Court,Criminal,7.9,7.8,13,No,The Criminal case with complexity 7.8 and 13 hearings,0,the criminal case with complexity and hearings
Tamil Nadu,District Court,Family,8.4,6.5,7,No,The Family case with complexity 6.5 and 7 hearings,1,the family case with complexity and hearings
West Bengal,High Court,Criminal,6.3,6.3,4,No,The Criminal case with complexity 6.3 and 4 hearings,1,the criminal case with complexity and hearings
Maharashtra,Supreme Court,Civil,7.1,7.2,16,No,The Civil case with complexity 7.2 and 16 hearings,1,the civil case with complexity and hearings
West Bengal,Sessions Court,Civil,7.1,8.8,12,No,The Civil case with complexity 8.8 and 12 hearings,1,the civil case with complexity and hearings
Maharashtra,High Court,Civil,6.9,8.1,18,No,The Civil case with complexity 8.1 and 18 hearings,1,the civil case with complexity and hearings
Delhi,Sessions Court,Family,9.7,6.6,1,No,The Family case with complexity 6.6 and 1 hearings,0,the family case with complexity and hearings
West Bengal,High Court,Constitutional,8.3,8.1,10,No,The Constitutional case with complexity 8.1 and 10 hearings,0,the constitutional case with complexity and hearings
Tamil Nadu,Supreme Court,Corporate,8.9,7.5,1,No,The Corporate case with complexity 7.5 and 1 hearings,1,the corporate case with complexity and hearings
West Bengal,District Court,Family,9.1,6.5,14,No,The Family case with complexity 6.5 and 14 hearings,1,the family case with complexity and hearings
Karnataka,Supreme Court,Constitutional,7.2,6.8,18,No,The Constitutional case with complexity 6.8 and 18 hearings,1,the constitutional case with complexity and hearings
West Bengal,Supreme Court,Family,10.0,4.1,10,Yes,The Family case with complexity 4.1 and 10 hearings,1,the family case with complexity and hearings
West Bengal,District Court,Criminal,9.8,8.6,19,No,The Criminal case with complexity 8.6 and 19 hearings,1,the criminal case with complexity and hearings
Tamil Nadu,Supreme Court,Constitutional,6.2,1.6,14,No,The Constitutional case with complexity 1.6 and 14 hearings,0,the constitutional case with complexity and hearings
Tamil Nadu,Supreme Court,Family,5.0,9.0,5,No,The Family case with complexity 9.0 and 5 hearings,1,the family case with complexity and hearings
Delhi,Supreme Court,Constitutional,8.2,7.4,2,No,The Constitutional case with complexity 7.4 and 2 hearings,1,the constitutional case with complexity and hearings
Tamil Nadu,Supreme Court,Family,9.3,4.5,2,No,The Family case with complexity 4.5 and 2 hearings,1,the family case with complexity and hearings
Karnataka,District Court,Family,7.2,5.5,17,No,The Family case with complexity 5.5 and 17 hearings,0,the family case with complexity and hearings
Karnataka,Supreme Court,Family,9.2,4.4,18,No,The Family case with complexity 4.4 and 18 hearings,0,the family case with complexity and hearings
Tamil Nadu,District Court,Criminal,8.2,9.3,10,No,The Criminal case with complexity 9.3 and 10 hearings,0,the criminal case with complexity and hearings
Tamil Nadu,District Court,Corporate,5.2,6.1,17,No,The Corporate case with complexity 6.1 and 17 hearings,1,the corporate case with complexity and hearings
Tamil Nadu,High Court,Criminal,8.0,7.1,12,No,The Criminal case with complexity 7.1 and 12 hearings,0,the criminal case with complexity and hearings
Karnataka,Supreme Court,Civil,7.0,2.7,5,No,The Civil case with complexity 2.7 and 5 hearings,0,the civil case with complexity and hearings
Maharashtra,Sessions Court,Corporate,6.8,1.9,8,Yes,The Corporate case with complexity 1.9 and 8 hearings,1,the corporate case with complexity and hearings
Delhi,Supreme Court,Corporate,9.4,8.6,11,No,The Corporate case with complexity 8.6 and 11 hearings,0,the corporate case with complexity and hearings
Karnataka,District Court,Criminal,10.0,1.7,10,No,The Criminal case with complexity 1.7 and 10 hearings,0,the criminal case with complexity and hearings
Delhi,Supreme Court,Constitutional,5.3,4.2,7,No,The Constitutional case with complexity 4.2 and 7 hearings,1,the constitutional case with complexity and hearings
Delhi,Supreme Court,Civil,9.7,2.2,11,No,The Civil case with complexity 2.2 and 11 hearings,1,the civil case with complexity and hearings
Maharashtra,High Court,Family,7.3,3.6,10,Yes,The Family case with complexity 3.6 and 10 hearings,1,the family case with complexity and hearings
Tamil Nadu,Sessions Court,Constitutional,8.8,9.2,8,Yes,The Constitutional case with complexity 9.2 and 8 hearings,1,the constitutional case with complexity and hearings
Karnataka,High Court,Constitutional,6.2,2.5,7,No,The Constitutional case with complexity 2.5 and 7 hearings,1,the constitutional case with complexity and hearings
West Bengal,Supreme Court,Corporate,6.1,8.0,18,No,The Corporate case with complexity 8.0 and 18 hearings,0,the corporate case with complexity and hearings
Maharashtra,Sessions Court,Family,7.8,7.9,5,No,The Family case with complexity 7.9 and 5 hearings,0,the family case with complexity and hearings
Karnataka,Supreme Court,Corporate,7.4,2.2,10,No,The Corporate case with complexity 2.2 and 10 hearings,1,the corporate case with complexity and hearings
Maharashtra,District Court,Constitutional,6.7,5.9,12,No,The Constitutional case with complexity 5.9 and 12 hearings,0,the constitutional case with complexity and hearings
West Bengal,District Court,Criminal,9.7,1.6,18,No,The Criminal case with complexity 1.6 and 18 hearings,0,the criminal case with complexity and hearings
Tamil Nadu,Supreme Court,Family,8.3,2.4,16,No,The Family case with complexity 2.4 and 16 hearings,1,the family case with complexity and hearings
Tamil Nadu,Sessions Court,Criminal,7.6,8.7,13,No,The Criminal case with complexity 8.7 and 13 hearings,1,the criminal case with complexity and hearings
Karnataka,District Court,Criminal,7.6,8.5,4,No,The Criminal case with complexity 8.5 and 4 hearings,0,the criminal case with complexity and hearings
West Bengal,Supreme Court,Family,5.7,6.1,3,No,The Family case with complexity 6.1 and 3 hearings,1,the family case with complexity and hearings
Maharashtra,Supreme Court,Constitutional,7.9,6.0,6,No,The Constitutional case with complexity 6.0 and 6 hearings,0,the constitutional case with complexity and hearings
Karnataka,Supreme Court,Family,6.7,7.3,5,No,The Family case with complexity 7.3 and 5 hearings,0,the family case with complexity and hearings
Delhi,Sessions Court,Constitutional,9.4,3.5,4,Yes,The Constitutional case with complexity 3.5 and 4 hearings,0,the constitutional case with complexity and hearings
Maharashtra,District Court,Corporate,6.9,3.4,4,No,The Corporate case with complexity 3.4 and 4 hearings,1,the corporate case with complexity and hearings
Delhi,Supreme Court,Civil,6.2,9.1,14,No,The Civil case with complexity 9.1 and 14 hearings,0,the civil case with complexity and hearings
Karnataka,District Court,Constitutional,7.3,7.6,16,No,The Constitutional case with complexity 7.6 and 16 hearings,0,the constitutional case with complexity and hearings
Delhi,High Court,Constitutional,8.8,4.7,18,No,The Constitutional case with complexity 4.7 and 18 hearings,1,the constitutional case with complexity and hearings
West Bengal,Supreme Court,Criminal,7.6,6.4,9,No,The Criminal case with complexity 6.4 and 9 hearings,0,the criminal case with complexity and hearings
West Bengal,Sessions Court,Corporate,6.4,8.3,9,No,The Corporate case with complexity 8.3 and 9 hearings,1,the corporate case with complexity and hearings
Karnataka,Sessions Court,Civil,6.1,4.2,12,No,The Civil case with complexity 4.2 and 12 hearings,1,the civil case with complexity and hearings
Delhi,Supreme Court,Family,5.9,4.5,8,No,The Family case with complexity 4.5 and 8 hearings,1,the family case with complexity and hearings
Karnataka,Sessions Court,Criminal,6.1,6.0,8,No,The Criminal case with complexity 6.0 and 8 hearings,1,the criminal case with complexity and hearings
Maharashtra,High Court,Constitutional,8.7,4.9,8,No,The Constitutional case with complexity 4.9 and 8 hearings,1,the constitutional case with complexity and hearings
Karnataka,Supreme Court,Criminal,6.7,3.9,8,No,The Criminal case with complexity 3.9 and 8 hearings,1,the criminal case with complexity and hearings
Delhi,High Court,Family,6.0,3.9,6,No,The Family case with complexity 3.9 and 6 hearings,0,the family case with complexity and hearings
Tamil Nadu,High Court,Civil,9.6,4.2,13,Yes,The Civil case with complexity 4.2 and 13 hearings,0,the civil case with complexity and hearings
Delhi,Supreme Court,Corporate,10.0,4.0,3,No,The Corporate case with complexity 4.0 and 3 hearings,1,the corporate case with complexity and hearings
Tamil Nadu,District Court,Civil,6.7,8.2,12,No,The Civil case with complexity 8.2 and 12 hearings,1,the civil case with complexity and hearings
Tamil Nadu,High Court,Corporate,5.8,3.4,12,No,The Corporate case with complexity 3.4 and 12 hearings,1,the corporate case with complexity and hearings
West Bengal,District Court,Civil,5.9,1.5,10,No,The Civil case with complexity 1.5 and 10 hearings,0,the civil case with complexity and hearings
Maharashtra,Sessions Court,Family,6.5,2.4,16,No,The Family case with complexity 2.4 and 16 hearings,1,the family case with complexity and hearings
Delhi,District Court,Corporate,7.1,4.7,18,No,The Corporate case with complexity 4.7 and 18 hearings,0,the corporate case with complexity and hearings
Delhi,High Court,Criminal,8.6,9.0,17,No,The Criminal case with complexity 9.0 and 17 hearings,1,the criminal case with complexity and hearings
West Bengal,District Court,Corporate,6.4,5.4,14,No,The Corporate case with complexity 5.4 and 14 hearings,1,the corporate case with complexity and hearings
West Bengal,Supreme Court,Criminal,7.0,4.3,11,No,The Criminal case with complexity 4.3 and 11 hearings,0,the criminal case with complexity and hearings
Tamil Nadu,Sessions Court,Civil,5.5,8.5,8,No,The Civil case with complexity 8.5 and 8 hearings,0,the civil case with complexity and hearings
Maharashtra,High Court,Criminal,9.7,2.2,11,No,The Criminal case with complexity 2.2 and 11 hearings,1,the criminal case with complexity and hearings
West Bengal,District Court,Constitutional,5.6,9.3,5,Yes,The Constitutional case with complexity 9.3 and 5 hearings,1,the constitutional case with complexity and hearings
Delhi,Supreme Court,Corporate,8.1,8.4,12,No,The Corporate case with complexity 8.4 and 12 hearings,1,the corporate case with complexity and hearings
Karnataka,Supreme Court,Constitutional,6.2,4.9,9,Yes,The Constitutional case with complexity 4.9 and 9 hearings,0,the constitutional case with complexity and hearings
Maharashtra,Sessions Court,Corporate,5.1,5.7,8,No,The Corporate case with complexity 5.7 and 8 hearings,1,the corporate case with complexity and hearings
Delhi,Sessions Court,Civil,6.8,8.1,17,Yes,The Civil case with complexity 8.1 and 17 hearings,0,the civil case with complexity and hearings
Delhi,District Court,Civil,5.8,8.2,16,No,The Civil case with complexity 8.2 and 16 hearings,0,the civil case with complexity and hearings
West Bengal,Sessions Court,Constitutional,6.9,5.2,3,Yes,The Constitutional case with complexity 5.2 and 3 hearings,0,the constitutional case with complexity and hearings
Maharashtra,District Court,Criminal,8.0,9.0,6,No,The Criminal case with complexity 9.0 and 6 hearings,0,the criminal case with complexity and hearings
Maharashtra,Supreme Court,Criminal,9.6,8.3,7,No,The Criminal case with complexity 8.3 and 7 hearings,1,the criminal case with complexity and hearings
Karnataka,Sessions Court,Family,5.2,7.0,3,No,The Family case with complexity 7.0 and 3 hearings,1,the family case with complexity and hearings
Maharashtra,Supreme Court,Corporate,9.1,6.4,17,No,The Corporate case with complexity 6.4 and 17 hearings,0,the corporate case with complexity and hearings
Karnataka,Supreme Court,Corporate,7.1,6.9,14,No,The Corporate case with complexity 6.9 and 14 hearings,1,the corporate case with complexity and hearings
Tamil Nadu,Supreme Court,Family,5.1,8.8,4,No,The Family case with complexity 8.8 and 4 hearings,1,the family case with complexity and hearings
West Bengal,High Court,Family,6.2,5.5,11,No,The Family case with complexity 5.5 and 11 hearings,1,the family case with complexity and hearings
Maharashtra,Supreme Court,Corporate,9.6,6.6,16,No,The Corporate case with complexity 6.6 and 16 hearings,0,the corporate case with complexity and hearings
Maharashtra,High Court,Constitutional,8.9,4.7,2,No,The Constitutional case with complexity 4.7 and 2 hearings,1,the constitutional case with complexity and hearings
West Bengal,High Court,Civil,6.2,2.4,6,No,The Civil case with complexity 2.4 and 6 hearings,0,the civil case with complexity and hearings
Maharashtra,Supreme Court,Criminal,6.5,6.1,16,No,The Criminal case with complexity 6.1 and 16 hearings,1,the criminal case with complexity and hearings
Maharashtra,Sessions Court,Family,9.9,9.2,4,No,The Family case with complexity 9.2 and 4 hearings,1,the family case with complexity and hearings
Karnataka,High Court,Criminal,7.0,7.8,11,No,The Criminal case with complexity 7.8 and 11 hearings,0,the criminal case with complexity and hearings
Delhi,Supreme Court,Corporate,8.3,7.0,17,No,The Corporate case with complexity 7.0 and 17 hearings,1,the corporate case with complexity and hearings
Maharashtra,Sessions Court,Constitutional,6.1,4.0,2,No,The Constitutional case with complexity 4.0 and 2 hearings,1,the constitutional case with complexity and hearings
Delhi,High Court,Civil,5.4,4.6,9,Yes,The Civil case with complexity 4.6 and 9 hearings,1,the civil case with complexity and hearings
Maharashtra,High Court,Family,6.2,8.1,13,No,The Family case with complexity 8.1 and 13 hearings,1,the family case with complexity and hearings
Maharashtra,Supreme Court,Criminal,7.1,1.9,11,No,The Criminal case with complexity 1.9 and 11 hearings,1,the criminal case with complexity and hearings
Karnataka,District Court,Family,7.9,1.6,12,No,The Family case with complexity 1.6 and 12 hearings,1,the family case with complexity and hearings
Maharashtra,Supreme Court,Corporate,7.0,9.3,2,Yes,The Corporate case with complexity 9.3 and 2 hearings,1,the corporate case with complexity and hearings
Tamil Nadu,Supreme Court,Constitutional,9.2,7.9,17,No,The Constitutional case with complexity 7.9 and 17 hearings,0,the constitutional case with complexity and hearings
West Bengal,High Court,Corporate,7.3,4.2,12,No,The Corporate case with complexity 4.2 and 12 hearings,1,the corporate case with complexity and hearings
Maharashtra,Sessions Court,Constitutional,9.4,7.6,3,No,The Constitutional case with complexity 7.6 and 3 hearings,0,the constitutional case with complexity and hearings
Tamil Nadu,Sessions Court,Constitutional,7.9,7.9,6,No,The Constitutional case with complexity 7.9 and 6 hearings,1,the constitutional case with complexity and hearings
Maharashtra,District Court,Corporate,7.9,4.2,2,No,The Corporate case with complexity 4.2 and 2 hearings,0,the corporate case with complexity and hearings
West Bengal,Supreme Court,Corporate,9.5,3.9,7,No,The Corporate case with complexity 3.9 and 7 hearings,0,the corporate case with complexity and hearings
Tamil Nadu,Sessions Court,Criminal,5.7,5.9,18,No,The Criminal case with complexity 5.9 and 18 hearings,1,the criminal case with complexity and hearings
Karnataka,District Court,Civil,5.2,9.4,13,No,The Civil case with complexity 9.4 and 13 hearings,1,the civil case with complexity and hearings
Tamil Nadu,Sessions Court,Civil,9.0,6.8,19,No,The Civil case with complexity 6.8 and 19 hearings,0,the civil case with complexity and hearings
Karnataka,Supreme Court,Civil,7.1,4.1,17,No,The Civil case with complexity 4.1 and 17 hearings,0,the civil case with complexity and hearings
West Bengal,Sessions Court,Family,6.4,2.5,4,No,The Family case with complexity 2.5 and 4 hearings,1,the family case with complexity and hearings
Tamil Nadu,Sessions Court,Criminal,9.4,9.4,1,No,The Criminal case with complexity 9.4 and 1 hearings,0,the criminal case with complexity and hearings
Maharashtra,High Court,Corporate,5.5,2.5,8,Yes,The Corporate case with complexity 2.5 and 8 hearings,0,the corporate case with complexity and hearings
Karnataka,Supreme Court,Family,8.4,6.3,2,No,The Family case with complexity 6.3 and 2 hearings,1,the family case with complexity and hearings
Tamil Nadu,High Court,Corporate,8.8,3.3,10,No,The Corporate case with complexity 3.3 and 10 hearings,0,the corporate case with complexity and hearings
Delhi,High Court,Civil,6.3,6.7,13,No,The Civil case with complexity 6.7 and 13 hearings,0,the civil case with complexity and hearings
Karnataka,Sessions Court,Criminal,10.0,3.0,2,No,The Criminal case with complexity 3.0 and 2 hearings,1,the criminal case with complexity and hearings
Maharashtra,District Court,Civil,5.4,3.6,7,No,The Civil case with complexity 3.6 and 7 hearings,1,the civil case with complexity and hearings
Tamil Nadu,Supreme Court,Family,8.2,7.9,2,Yes,The Family case with complexity 7.9 and 2 hearings,0,the family case with complexity and hearings
Tamil Nadu,Supreme Court,Constitutional,5.1,4.4,14,Yes,The Constitutional case with complexity 4.4 and 14 hearings,0,the constitutional case with complexity and hearings
Maharashtra,Supreme Court,Civil,7.0,2.6,4,No,The Civil case with complexity 2.6 and 4 hearings,0,the civil case with complexity and hearings
West Bengal,Supreme Court,Criminal,6.5,8.2,18,No,The Criminal case with complexity 8.2 and 18 hearings,1,the criminal case with complexity and hearings
West Bengal,Sessions Court,Family,9.6,4.1,19,No,The Family case with complexity 4.1 and 19 hearings,1,the family case with complexity and hearings
Tamil Nadu,Supreme Court,Criminal,8.3,6.0,7,No,The Criminal case with complexity 6.0 and 7 hearings,0,the criminal case with complexity and hearings
Delhi,District Court,Corporate,8.2,2.3,8,No,The Corporate case with complexity 2.3 and 8 hearings,1,the corporate case with complexity and hearings
Karnataka,District Court,Constitutional,8.6,4.4,19,No,The Constitutional case with complexity 4.4 and 19 hearings,1,the constitutional case with complexity and hearings
West Bengal,Sessions Court,Corporate,7.8,5.6,6,No,The Corporate case with complexity 5.6 and 6 hearings,1,the corporate case with complexity and hearings
Maharashtra,District Court,Constitutional,6.9,3.4,1,No,The Constitutional case with complexity 3.4 and 1 hearings,1,the constitutional case with complexity and hearings
Karnataka,Sessions Court,Family,7.7,8.5,3,No,The Family case with complexity 8.5 and 3 hearings,1,the family case with complexity and hearings
Maharashtra,District Court,Criminal,7.0,6.9,6,No,The Criminal case with complexity 6.9 and 6 hearings,0,the criminal case with complexity and hearings
Delhi,Sessions Court,Corporate,5.6,6.1,12,No,The Corporate case with complexity 6.1 and 12 hearings,1,the corporate case with complexity and hearings
Tamil Nadu,Sessions Court,Family,8.7,6.5,13,No,The Family case with complexity 6.5 and 13 hearings,0,the family case with complexity and hearings
Tamil Nadu,Supreme Court,Constitutional,9.0,3.4,8,No,The Constitutional case with complexity 3.4 and 8 hearings,0,the constitutional case with complexity and hearings
Karnataka,High Court,Family,6.4,7.7,19,No,The Family case with complexity 7.7 and 19 hearings,0,the family case with complexity and hearings
Karnataka,High Court,Civil,9.1,1.8,11,No,The Civil case with complexity 1.8 and 11 hearings,1,the civil case with complexity and hearings
Tamil Nadu,High Court,Criminal,8.1,8.7,8,No,The Criminal case with complexity 8.7 and 8 hearings,1,the criminal case with complexity and hearings
Karnataka,Sessions Court,Constitutional,10.0,7.1,6,No,The Constitutional case with complexity 7.1 and 6 hearings,1,the constitutional case with complexity and hearings
West Bengal,District Court,Constitutional,6.6,2.0,4,No,The Constitutional case with complexity 2.0 and 4 hearings,0,the constitutional case with complexity and hearings
Maharashtra,Sessions Court,Corporate,9.7,3.5,18,No,The Corporate case with complexity 3.5 and 18 hearings,0,the corporate case with complexity and hearings
Maharashtra,District Court,Constitutional,6.7,5.5,14,Yes,The Constitutional case with complexity 5.5 and 14 hearings,1,the constitutional case with complexity and hearings
Karnataka,Supreme Court,Corporate,7.0,2.4,19,Yes,The Corporate case with complexity 2.4 and 19 hearings,0,the corporate case with complexity and hearings
West Bengal,Supreme Court,Corporate,7.0,5.1,10,No,The Corporate case with complexity 5.1 and 10 hearings,1,the corporate case with complexity and hearings
Delhi,District Court,Civil,7.4,6.3,18,No,The Civil case with complexity 6.3 and 18 hearings,1,the civil case with complexity and hearings
Delhi,Supreme Court,Constitutional,8.4,1.8,4,No,The Constitutional case with complexity 1.8 and 4 hearings,1,the constitutional case with complexity and hearings
Delhi,Sessions Court,Civil,9.4,6.1,19,No,The Civil case with complexity 6.1 and 19 hearings,1,the civil case with complexity and hearings
Karnataka,Sessions Court,Criminal,7.0,3.9,16,No,The Criminal case with complexity 3.9 and 16 hearings,0,the criminal case with complexity and hearings
Tamil Nadu,District Court,Criminal,7.6,4.1,16,No,The Criminal case with complexity 4.1 and 16 hearings,0,the criminal case with complexity and hearings
Karnataka,High Court,Corporate,9.6,4.4,7,No,The Corporate case with complexity 4.4 and 7 hearings,1,the corporate case with complexity and hearings
Maharashtra,Sessions Court,Civil,5.9,7.3,8,No,The Civil case with complexity 7.3 and 8 hearings,1,the civil case with complexity and hearings
Maharashtra,Sessions Court,Constitutional,5.1,8.7,10,No,The Constitutional case with complexity 8.7 and 10 hearings,0,the constitutional case with complexity and hearings
Karnataka,Sessions Court,Criminal,9.4,1.6,1,No,The Criminal case with complexity 1.6 and 1 hearings,1,the criminal case with complexity and hearings
Maharashtra,Supreme Court,Constitutional,5.6,2.5,7,No,The Constitutional case with complexity 2.5 and 7 hearings,1,the constitutional case with complexity and hearings
West Bengal,High Court,Criminal,9.2,3.1,11,No,The Criminal case with complexity 3.1 and 11 hearings,1,the criminal case with complexity and hearings
Delhi,High Court,Constitutional,5.3,3.2,6,No,The Constitutional case with complexity 3.2 and 6 hearings,1,the constitutional case with complexity and hearings
West Bengal,Sessions Court,Family,9.8,5.8,19,No,The Family case with complexity 5.8 and 19 hearings,1,the family case with complexity and hearings
West Bengal,High Court,Constitutional,8.0,7.6,10,No,The Constitutional case with complexity 7.6 and 10 hearings,1,the constitutional case with complexity and hearings
West Bengal,Sessions Court,Family,5.9,3.1,15,No,The Family case with complexity 3.1 and 15 hearings,1,the family case with complexity and hearings
West Bengal,District Court,Family,9.4,3.7,15,No,The Family case with complexity 3.7 and 15 hearings,1,the family case with complexity and hearings
West Bengal,Supreme Court,Constitutional,10.0,3.1,14,No,The Constitutional case with complexity 3.1 and 14 hearings,1,the constitutional case with complexity and hearings
Maharashtra,District Court,Criminal,8.2,1.9,11,No,The Criminal case with complexity 1.9 and 11 hearings,1,the criminal case with complexity and hearings
Delhi,District Court,Civil,5.8,2.5,14,No,The Civil case with complexity 2.5 and 14 hearings,1,the civil case with complexity and hearings
Delhi,Sessions Court,Family,8.5,7.3,18,No,The Family case with complexity 7.3 and 18 hearings,1,the family case with complexity and hearings
Tamil Nadu,High Court,Family,5.0,6.9,19,No,The Family case with complexity 6.9 and 19 hearings,0,the family case with complexity and hearings
Delhi,Supreme Court,Corporate,7.9,1.7,2,Yes,The Corporate case with complexity 1.7 and 2 hearings,0,the corporate case with complexity and hearings
West Bengal,District Court,Constitutional,5.5,2.9,15,No,The Constitutional case with complexity 2.9 and 15 hearings,1,the constitutional case with complexity and hearings
West Bengal,High Court,Corporate,5.4,3.7,11,No,The Corporate case with complexity 3.7 and 11 hearings,1,the corporate case with complexity and hearings
Maharashtra,High Court,Constitutional,6.1,4.7,19,No,The Constitutional case with complexity 4.7 and 19 hearings,0,the constitutional case with complexity and hearings
Karnataka,High Court,Corporate,8.7,4.9,1,No,The Corporate case with complexity 4.9 and 1 hearings,0,the corporate case with complexity and hearings
West Bengal,High Court,Criminal,9.8,8.6,3,No,The Criminal case with complexity 8.6 and 3 hearings,0,the criminal case with complexity and hearings
Tamil Nadu,High Court,Corporate,8.4,4.7,14,Yes,The Corporate case with complexity 4.7 and 14 hearings,0,the corporate case with complexity and hearings
West Bengal,High Court,Constitutional,10.0,3.2,19,No,The Constitutional case with complexity 3.2 and 19 hearings,1,the constitutional case with complexity and hearings
West Bengal,Sessions Court,Civil,7.9,2.8,7,No,The Civil case with complexity 2.8 and 7 hearings,1,the civil case with complexity and hearings
Maharashtra,Supreme Court,Family,9.1,3.5,7,No,The Family case with complexity 3.5 and 7 hearings,1,the family case with complexity and hearings
Karnataka,District Court,Constitutional,7.8,7.9,8,No,The Constitutional case with complexity 7.9 and 8 hearings,1,the constitutional case with complexity and hearings
Tamil Nadu,District Court,Constitutional,5.3,7.1,2,No,The Constitutional case with complexity 7.1 and 2 hearings,1,the constitutional case with complexity and hearings
Karnataka,District Court,Constitutional,8.7,1.7,14,No,The Constitutional case with complexity 1.7 and 14 hearings,1,the constitutional case with complexity and hearings
West Bengal,Sessions Court,Criminal,5.5,6.5,17,No,The Criminal case with complexity 6.5 and 17 hearings,1,the criminal case with complexity and hearings
Karnataka,High Court,Criminal,6.0,1.7,11,No,The Criminal case with complexity 1.7 and 11 hearings,1,the criminal case with complexity and hearings
West Bengal,Sessions Court,Family,8.1,3.9,9,No,The Family case with complexity 3.9 and 9 hearings,1,the family case with complexity and hearings
Maharashtra,Supreme Court,Corporate,9.0,4.6,13,No,The Corporate case with complexity 4.6 and 13 hearings,1,the corporate case with complexity and hearings
Delhi,Supreme Court,Family,5.4,2.9,18,No,The Family case with complexity 2.9 and 18 hearings,1,the family case with complexity and hearings
Delhi,Sessions Court,Corporate,8.2,6.9,9,No,The Corporate case with complexity 6.9 and 9 hearings,1,the corporate case with complexity and hearings
Karnataka,District Court,Corporate,8.5,6.8,15,No,The Corporate case with complexity 6.8 and 15 hearings,0,the corporate case with complexity and hearings
West Bengal,Supreme Court,Civil,8.7,3.2,9,No,The Civil case with complexity 3.2 and 9 hearings,1,the civil case with complexity and hearings
Delhi,High Court,Constitutional,5.0,8.7,10,No,The Constitutional case with complexity 8.7 and 10 hearings,1,the constitutional case with complexity and hearings
Tamil Nadu,District Court,Civil,9.6,1.8,7,No,The Civil case with complexity 1.8 and 7 hearings,1,the civil case with complexity and hearings
West Bengal,Sessions Court,Constitutional,6.5,7.8,18,No,The Constitutional case with complexity 7.8 and 18 hearings,1,the constitutional case with complexity and hearings
West Bengal,High Court,Criminal,8.6,6.1,10,No,The Criminal case with complexity 6.1 and 10 hearings,1,the criminal case with complexity and hearings
Karnataka,High Court,Family,8.2,7.5,19,No,The Family case with complexity 7.5 and 19 hearings,1,the family case with complexity and hearings
Delhi,Supreme Court,Criminal,6.6,7.6,14,No,The Criminal case with complexity 7.6 and 14 hearings,0,the criminal case with complexity and hearings
Karnataka,District Court,Criminal,9.5,3.6,19,No,The Criminal case with complexity 3.6 and 19 hearings,1,the criminal case with complexity and hearings
Tamil Nadu,Sessions Court,Civil,7.7,8.9,7,No,The Civil case with complexity 8.9 and 7 hearings,0,the civil case with complexity and hearings
Delhi,High Court,Civil,9.7,7.0,17,No,The Civil case with complexity 7.0 and 17 hearings,1,the civil case with complexity and hearings
Karnataka,High Court,Civil,5.3,2.9,14,No,The Civil case with complexity 2.9 and 14 hearings,1,the civil case with complexity and hearings
Karnataka,Supreme Court,Family,9.7,4.0,7,No,The Family case with complexity 4.0 and 7 hearings,0,the family case with complexity and hearings
Tamil Nadu,Sessions Court,Family,8.2,4.0,7,No,The Family case with complexity 4.0 and 7 hearings,1,the family case with complexity and hearings
Tamil Nadu,Sessions Court,Criminal,9.1,6.9,1,No,The Criminal case with complexity 6.9 and 1 hearings,0,the criminal case with complexity and hearings
Delhi,Sessions Court,Criminal,7.3,8.1,3,No,The Criminal case with complexity 8.1 and 3 hearings,1,the criminal case with complexity and hearings
Tamil Nadu,High Court,Constitutional,9.6,2.6,18,No,The Constitutional case with complexity 2.6 and 18 hearings,0,the constitutional case with complexity and hearings
Karnataka,Sessions Court,Civil,8.2,3.7,3,No,The Civil case with complexity 3.7 and 3 hearings,0,the civil case with complexity and hearings
